scientific_name,Adult_svl_cm,Body_mass_g,Maturity_d,Max_longevity_d,Longevity_d,Litter_clutch_size,Trophic_level,Diel_activity,Habitat_breadth_IUCN
Cyrtodactylus lomyenensis,,7.482243792,,,,,,Nocturl,
Cyrtodactylus loriae,,65.1314197,,,,,Carnivore,Nocturl,1
Cyrtodactylus louisiadensis,,46.42576376,,,,1.749930935,Carnivore,Nocturl,1
Cyrtodactylus macrotuberculatus,,31.6113883,,,,1.5,,Nocturl,
Cyrtodactylus majulah,,6.707144265,,,,1.999930935,,Nocturl,
Cyrtodactylus malayanus,,29.99581259,,,,1.742590249,,Nocturl,
Cyrtodactylus malcolmsmithi,,3.677973958,,,,,,Nocturl,2
Cyrtodactylus mamanwa,,15.18525184,,,,,,Nocturl,
Cyrtodactylus mandalayensis,,5.011712948,,,,,,Nocturl,
Cyrtodactylus markuscombaii,,7.781235583,,,,,,Nocturl,
Cyrtodactylus marmoratus,,9.979882841,,1132.275,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus martini,,17.11978654,,,,1.999930935,,Nocturl,
Cyrtodactylus martinstolli,,11.00769655,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus matsuii,,21.81364956,,,,,Carnivore,Nocturl,
Cyrtodactylus mcdoldi,,17.83140261,456.6,3652.5,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus medioclivus,,20.89648065,,,,,,,
Cyrtodactylus metropolis,,11.09587408,,,,,,Nocturl,
Cyrtodactylus mimikanus,,20.70070674,,,,,,,1
Cyrtodactylus minor,,7.695652201,,,,,,Nocturl,
Cyrtodactylus multiporus,,,,,,,,Nocturl,
Cyrtodactylus murua,,26.71503204,,,,,,,1
Cyrtodactylus nebulosus,,3.487680807,,,,,Carnivore,Nocturl,
Cyrtodactylus nepalensis,,7.885228948,,,,,Carnivore,Nocturl,
Cyrtodactylus nigriocularis,,23.29045629,,,,,,Nocturl,
Cyrtodactylus novaeguineae,,85.3050057,,,,,,Nocturl,1
Cyrtodactylus nuaulu,,13.59156723,,,,,,Nocturl,
Cyrtodactylus oldhami,,9.284149117,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus otai,,,,,,2,,Nocturl,
Cyrtodactylus pageli,,13.81783189,,,,1.500015095,,Nocturl,
Cyrtodactylus pantiensis,,9.316271504,,,,,,Nocturl,
Cyrtodactylus papilionoides,19.04761905,15.59776251,,,,1.500015095,Carnivore,Nocturl,
Cyrtodactylus papuensis,,7.007276492,,,,,,,1
Cyrtodactylus payacola,,6.500648452,,,,1.999930935,,Nocturl,
Cyrtodactylus payarhtanensis,,,,,,,,,
Cyrtodactylus peguensis,7.8925,12.16186001,365.28,,,1.50003019,Carnivore,Nocturl,
Cyrtodactylus petani,,,,,,,Carnivore,Nocturl,
Cyrtodactylus pharbaungensis,,,,,,,,,
Cyrtodactylus phetchaburiensis,,,,,,,,Nocturl,
Cyrtodactylus philippinicus,,17.81189384,,,,1.999930935,Carnivore,Nocturl,2
Cyrtodactylus phongnhakebangensis,,21.48915237,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus phuketensis,,27.88060584,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus phuocbinhensis,,4.721209926,,,,,,Nocturl,
Cyrtodactylus phuquocensis,,12.50129515,,,,,,Nocturl,
Cyrtodactylus prorus,,41.49770213,,,,,Carnivore,,
Cyrtodactylus psarops,,,,,,,,Nocturl,
Cyrtodactylus pseudoquadrivirgatus,,13.19128369,,,,1,Carnivore,Nocturl,
Cyrtodactylus pubisulcus,,9.284149117,273.96,,,1.732584716,Carnivore,Nocturl,
Cyrtodactylus puhuensis,,10.01152619,,,,,,Nocturl,
Cyrtodactylus pulchellus,11.5,23.99697537,,1789.725,,2,Carnivore,Nocturl,
Cyrtodactylus pyinyaungensis,,,,,,,,Nocturl,
Cyrtodactylus quadrivirgatus,,8.70481795,,,,1.950101501,Carnivore,Nocturl,
Cyrtodactylus ramboda,,18.61043568,,,,,,Nocturl,
Cyrtodactylus ranongensis,,4.585440948,,,,,,Nocturl,
Cyrtodactylus redimiculus,,16.19040019,,,,1.999930935,,Nocturl,3
Cyrtodactylus rex,,,,,,,,,
Cyrtodactylus rishivalleyensis,,,,,,,,Nocturl,
Cyrtodactylus robustus,,71.06067568,,,,,,Nocturl,
Cyrtodactylus roesleri,,8.70481795,,,,,,Nocturl,
Cyrtodactylus rosichoriefi,,,,,,,,Nocturl,
Cyrtodactylus rubidus,,10.3019306,,,,2,Carnivore,Nocturl,
Cyrtodactylus rufford,,,,,,,,Nocturl,
Cyrtodactylus russelli,,28.70390291,,,,,,Nocturl,
Cyrtodactylus sadanensis,,,,,,,,Nocturl,
Cyrtodactylus sadansinensis,,,,,,,,Nocturl,
Cyrtodactylus sadleiri,,13.39838344,273.96,,,2,Carnivore,Nocturl,3
Cyrtodactylus saiyok,,4.887642451,,,,,,Nocturl,
Cyrtodactylus salomonensis,,50.21712948,,,,,Carnivore,Nocturl,
Cyrtodactylus samroiyot,,6.290291794,,,,1.999930935,,Nocturl,
Cyrtodactylus sangi,,,,,,,,Nocturl,
Cyrtodactylus sanook,,10.10789727,,,,,,Nocturl,
Cyrtodactylus sanpelensis,,,,,,,,Nocturl,
Cyrtodactylus semenjungensis,,7.415095689,,,,1.999930935,,Nocturl,
Cyrtodactylus semiadii,,2.391159735,,,,1.500015095,,Nocturl,
Cyrtodactylus semicinctus,,,,,,,,Nocturl,
Cyrtodactylus seribuatensis,,8.604968761,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus sermowaiensis,,15.82446596,,,,1,,,1
Cyrtodactylus serratus,,69.8116202,,,,,,Nocturl,
Cyrtodactylus sharkari,,19.12127963,,,,,,Nocturl,
Cyrtodactylus shwetaungorum,,,,,,,,Nocturl,
Cyrtodactylus sinyineensis,,,,,,,,Nocturl,
Cyrtodactylus slowinskii,,23.60239117,,,,,,Nocturl,
Cyrtodactylus soba,,22.21654945,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus sommerladi,,,,,,,,Nocturl,
Cyrtodactylus soni,,,,,,,,Nocturl,
Cyrtodactylus sonlaensis,,,,,,,,Nocturl,
Cyrtodactylus soudthichaki,,,,,,,,Nocturl,
Cyrtodactylus speciosus,,,,,,,,Nocturl,
Cyrtodactylus spelaeus,,,,,,,,Nocturl,
Cyrtodactylus spinosus,,11.49076811,,,,1.999930935,,Nocturl,
Cyrtodactylus srilekhae,,,,,,,,Nocturl,
Cyrtodactylus stresemanni,,16.79402009,,,,,,Nocturl,
Cyrtodactylus subsolanus,,21.58872205,,,,,Carnivore,Nocturl,
Cyrtodactylus sumonthai,,10.57193448,730.56,,,1.500015095,Carnivore,Nocturl,2
Cyrtodactylus sumuroi,,12.11694425,,,,,,Nocturl,
Cyrtodactylus surin,,10.4236011,,,,,,Nocturl,
Cyrtodactylus sworderi,,10.31380703,,,,2,,Nocturl,1
Cyrtodactylus tahu,,,,,,,,Nocturl,
Cyrtodactylus takouensis,,10.6952744,,,,,,Nocturl,
Cyrtodactylus tamaiensis,,14.27803797,,,,,,Nocturl,
Cyrtodactylus tambora,,,,,,2,,Nocturl,
Cyrtodactylus tanim,,,,,,2,,Nocturl,
Cyrtodactylus tautbatorum,,6.780414877,,,,,,Nocturl,
Cyrtodactylus taynguyenensis,,12.18093,,,,,,Nocturl,
Cyrtodactylus tebuensis,,11.81520778,,,,1.999930935,,Nocturl,
Cyrtodactylus teyniei,,14.21164394,,,,,,Other,
Cyrtodactylus thirakhupti,,10.3019306,,,,,,Nocturl,
Cyrtodactylus thuongae,,9.481185807,,,,,,Nocturl,
Cyrtodactylus tibetanus,,3.192098761,,,,,,Nocturl,
Cyrtodactylus tigroides,,12.18093,,,,,Carnivore,Nocturl,
Cyrtodactylus timur,,31.90768928,,,,,,Nocturl,
Cyrtodactylus tiomanensis,,12.98589635,,,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus triedrus,,5.096654355,,,,1.999930935,Carnivore,Nocturl,2
Cyrtodactylus trilatofasciatus,,33.19472288,,,,,Carnivore,Nocturl,
Cyrtodactylus tripartitus,,56.33188279,,,,,,Nocturl,
Cyrtodactylus tuberculatus,,36.00188606,456.6,3652.5,,1.999930935,Carnivore,Nocturl,
Cyrtodactylus varadgirii,,,,,,2,,Nocturl,
Cyrtodactylus variegatus,,7.406551207,,,,,Carnivore,Nocturl,
Cyrtodactylus vilaphongi,,12.60913767,,,,,,Nocturl,
Cyrtodactylus wakeorum,,5.579521286,,,,1.999930935,,Nocturl,1
Cyrtodactylus wallacei,,27.10095816,,,,,,,
Cyrtodactylus wangkulangkulae,,8.289710819,,,,,,Nocturl,
Cyrtodactylus wayakonei,,15.3907732,,,,1.999930935,,Nocturl,
Cyrtodactylus welpyanensis,,,,,,,,Nocturl,
Cyrtodactylus wetariensis,,7.114265151,,,,,,,2
Cyrtodactylus yakhu,,3.116642862,,,,2.999926591,Carnivore,Nocturl,
Cyrtodactylus yangbayensis,,15.28783029,,,,1.999930935,,Nocturl,
Cyrtodactylus yathepyanensis,,,,,,,,Nocturl,
Cyrtodactylus yoshii,,20.99469942,,,,1.5,,Nocturl,
Cyrtodactylus zhaoermii,,4.601282868,,,,,,Nocturl,
Cyrtodactylus ziegleri,,15.59776251,,,,,,Nocturl,
Cyrtodactylus zugi,,68.653422,,,,,,Nocturl,
Cyrtopodion agamuroides,,2.805950415,,,,2,Carnivore,Other,3
Cyrtopodion aravallensis,,2.985833016,,,,,,Nocturl,
Cyrtopodion baigii,,2.300720909,,,,,Carnivore,Nocturl,
Cyrtopodion battalense,,5.579521286,,,,1.99986187,,Nocturl,
Cyrtopodion belaense,,1.585181402,,,,,,Nocturl,
Cyrtopodion brevipes,,1.98848482,,,,,,Nocturl,1
Cyrtopodion dattanense,,5.096654355,,,,,,Nocturl,
Cyrtopodion fortmunroi,,2.805950415,,,,2,Carnivore,Nocturl,5
Cyrtopodion gastrophole,,2.805950415,,,,,,Nocturl,2
Cyrtopodion golubevi,,4.423156337,,,,1.500015095,,Nocturl,
Cyrtopodion himalayanum,,8.916527419,,,,,,Nocturl,
Cyrtopodion hormozganum,,2.216786111,,,,,,Nocturl,
Cyrtopodion indusoani,,3.487680807,,,,2,Carnivore,Other,
Cyrtopodion kachhense,3.924,3.301847705,,,,1.500015095,Carnivore,Nocturl,
Cyrtopodion kiabii,,2.377524642,,,,,,Nocturl,
Cyrtopodion kirmanense,,2.985833016,,,,,,Other,1
Cyrtopodion kohsulaimai,,4.423156337,,,,2.499884851,Carnivore,Nocturl,4
Cyrtopodion lawderanum,,3.677973958,,,,,,Nocturl,
Cyrtopodion mansarulus,,,,,,,,Nocturl,
Cyrtopodion medogense,,1.309128369,,,,,,Nocturl,
Cyrtopodion montiumsalsorum,,2.39941646,,,,2,Carnivore,Nocturl,
Cyrtopodion persepolense,,2.985833016,,,,,,Nocturl,
Cyrtopodion potoharense,,3.116642862,,,,1.5,Carnivore,Nocturl,4
Cyrtopodion rhodocauda,,5.579521286,,,,,,Other,
Cyrtopodion rohtasfortai,,3.301847705,,,,1.999930935,Carnivore,Nocturl,
Cyrtopodion scabrum,4.766,2.8,,1461,,1.979930935,Carnivore,Nocturl,4
Cyrtopodion sistanense,,4.018226965,,,,,,Other,
Cyrtopodion watsoni,,3.487680807,,,,1.999930935,Carnivore,Other,
Daboia deserti,,2046.4,,4127.325,3689.025,20,,,3
Daboia mauritanica,,2929.8,,4127.325,3689.025,21,,,5
Daboia palaestie,,666,1643.76,5296.125,4839.5625,20,Carnivore,Nocturl,6
Daboia siamensis,,1694.3378,,5478.75,4857.825,34.5,Carnivore,Nocturl,11
Dactylocnemis pacificus,8.61,19.6,,4328.2125,2301.075,2,Omnivore,Nocturl,
Dalmatolacerta oxycephala,5.8555,6.16,,1406.2125,,3.400165058,Carnivore,Other,4
Dalophia angolensis,,40.33226965,,,,,,,
Dalophia ellenbergeri,,73.15695417,,,,,,,
Dalophia gigantea,,583.2225521,,,,,,,
Dalophia longicauda,,172.1934287,,,,3,,,
Dalophia luluae,,10.70759653,,,,,,,
Dalophia pistillum,,231.7197325,,,,3.75,Carnivore,,
Darevskia alpi,,7.314122666,,,,4.00036851,,Other,3
Darevskia armeniaca,5.35,3.737768158,1278.48,2008.875,1059.225,4.00036851,Carnivore,Other,4
Darevskia bendimahiensis,,5.992057975,,,,1.999930935,Carnivore,Other,2
Darevskia bithynica,6.675,7.499471047,730.56,1643.625,1059.225,4.000184255,,Other,
Darevskia brauneri,,6.904127295,730.56,4748.25,,4,Carnivore,Other,7
Darevskia caspica,,7.114265151,,,,,,Other,
Darevskia caucasica,,7.007276492,730.56,1095.75,1059.225,4.00036851,Carnivore,Other,4
Darevskia chlorogaster,6.019,8.669618758,,,,6.499800097,Carnivore,Other,1
Darevskia clarkorum,,7.6,730.56,4383,,,Omnivore,Other,3
Darevskia daghestanica,,4.590709434,,,,3,,Other,2
Darevskia dahli,,5.323201815,1278.48,2191.5,,3.500257542,Carnivore,Other,6
Darevskia defilippii,,4.590709434,,1095.75,1059.225,5.35,Carnivore,Other,4
Darevskia derjugini,5.7005,5.335,730.56,2922,,4.499935169,Carnivore,Other,4
Darevskia dryada,,8.8,,3287.25,,,,Other,2
Darevskia kamii,,7.280529787,,,,,,Other,
Darevskia kopetdaghica,,4.302633052,,,,,,Other,
Darevskia lindholmi,,9.786186105,,,,4.000184255,Carnivore,Other,
Darevskia mixta,,5.823950421,,,,3,Carnivore,Other,4
Darevskia parvula,5.151,4.546791377,547.92,2922,,2.999853181,Carnivore,Other,4
Darevskia pontica,,5.485079814,,,,5,Carnivore,Other,
Darevskia portschinskii,5.285,3.48,,1643.625,1059.225,3.500257542,Carnivore,Other,2
Darevskia praticola,5.7,3.379955313,,3122.8875,,4.855060176,Carnivore,Other,3
Darevskia raddei,5.857,4.831253478,913.2,1643.625,1059.225,4.000184255,Carnivore,Other,4
Darevskia rostombekovi,5.212,2.676876354,1643.76,2191.5,,2.8,Carnivore,Other,2
Darevskia rostombekowi,,5.05824662,1643.76,2191.5,,2.5,Carnivore,Other,
Darevskia rudis,6.987,7.93,,2008.875,1059.225,5,Omnivore,Other,5
Darevskia sapphiri,,4.355118737,913.2,2191.5,,3.500128771,Carnivore,Other,2
Darevskia saxicola,6.2515,7.625,730.56,1862.775,1059.225,4.00036851,Omnivore,Other,1
Darevskia schaekeli,,4.184346917,,,,,,Other,
Darevskia steineri,,8.308818856,,,,,,Other,2
Darevskia unisexualis,5.929,4.9,1278.48,2739.375,,5.00034535,Carnivore,Other,1
Darevskia uzzelli,,5.1,913.2,2191.5,,,Carnivore,Other,2
Darevskia valentini,6.948,7.8,1278.48,1826.25,1059.225,5.199979983,Carnivore,Other,4
Dasia griffini,,35.71364191,,,,,,Other,1
Dasia grisea,,50.21712948,,,,3.5,Omnivore,Other,
Dasia halia,,12.71751541,,,,1.999930935,Carnivore,Other,
Dasia johnsinghi,,15.99779014,,,,,,Other,
Dasia nicobarensis,,20.19183182,,,,,,Other,
Dasia olivacea,12.025,79.7,,,,9.5,Carnivore,Other,3
Dasia semicincta,,50.21712948,,,,,,Other,
Dasia subcaerulea,,15.08303533,,,,,,Other,
Dasia vittata,,18.88995675,,,,2.775000564,Carnivore,Other,
Dasypeltis abyssi,,5.720582311,,,,,,,
Dasypeltis atra,,72.25,,4985.6625,3433.35,10.5,Carnivore,Nocturl,
Dasypeltis confusa,,117.2097683,,,,,,,
Dasypeltis fasciata,,149.3,,8072.025,6519.7125,7.5,,,4
Dasypeltis inorta,,117.2097683,,,,11.5,,,8
Dasypeltis latericia,,94.91365781,,,,,,,
Dasypeltis medici,,72.25,,5606.5875,4054.275,12,Carnivore,Nocturl,
Dasypeltis parascabra,,32.71703474,,,,,,,
Dasypeltis sahelensis,,34.81686575,,,,,,,
Dasypeltis scabra,,72.25,,8072.025,6519.7125,15.5,Carnivore,Nocturl,11
Deigkistrodon acutus,,1663.356325,,2739.375,2739.375,13,,,
Deirochelys reticularia,,910.5,1369.125,8766,8766,8.165,,Other,
Delma australis,,4.21821483,,,,1.999930935,Omnivore,Other,3
Delma borea,,4.904539381,,,,1.5,Omnivore,Nocturl,4
Delma butleri,8.31,4.775292737,,,,1.999930935,Carnivore,Other,1
Delma concin,,5.894218277,,,,2,Omnivore,Other,5
Delma desmosa,,4.382579161,,,,,Omnivore,Nocturl,
Delma elegans,,4.820861838,,,,,Omnivore,Nocturl,1
Delma fraseri,,7.999171275,,,,1.999930935,Carnivore,Other,4
Delma grayii,,6.877441132,,,,1.999930935,Omnivore,Other,2
Delma haroldi,,3.402040949,,,,,,,
Delma hebesa,,3.677973958,,,,,,,
Delma impar,10,5,913.2,3415.0875,,1.99986187,Omnivore,Other,2
Delma inorta,,6.318898225,,1826.25,,1.999930935,Carnivore,Other,3
Delma labialis,,6.104710125,,,,,Omnivore,Other,2
Delma mitella,,13.08085444,,,,,Omnivore,,2
Delma molleri,,5.810516089,,,,1.999930935,Omnivore,Other,4
Delma suta,,5.894218277,,,,1.999930935,Carnivore,Other,2
Delma pax,,4.904539381,,,,,Omnivore,Nocturl,1
Delma petersoni,,7.106067568,,,,2,,,1
Delma plebeia,,6.611082519,,,,2,Omnivore,Other,3
Delma tealei,,4.21821483,,,,,Omnivore,,
Delma tincta,,4.498899274,,,,1.749930935,Omnivore,Other,6
Delma torquata,,2.689584162,913.2,,,1.999930935,Omnivore,,2
Demansia angusticeps,,185.4265812,,,,,,,
Demansia calodera,,147.5353267,,,,3.5,,,3
Demansia flagellatio,,112.4802487,,,,,,,
Demansia olivacea,,163.4025974,,,,3.5,,,9
Demansia papuensis,,842.3,,,,5,,,2
Demansia psammophis,,252.3240386,,,,5.8,,,10
Demansia quaesitor,,120.2632217,,,,,,,
Demansia reticulata,,147.5353267,,,,,,,
Demansia rimicola,,237.5420143,,,,,,,
Demansia rufescens,,147.5353267,,,,3.5,,,2
Demansia shinei,,151.0540077,,,,,,,
Demansia simplex,,73.79521151,,,,,,,2
Demansia torquata,,158.8273374,,,,5.8,,,4
Demansia vestigiata,,391.5709386,,,,8.8,,,3
Dendragama australis,,,,,,4,,Other,
Dendragama boulengeri,,13.68864413,,,,3.500184255,Carnivore,Other,
Dendragama dioidema,,,,,,3,,Other,
Dendrelaphis andamanensis,,186.2043568,,,,,,,
Dendrelaphis ashoki,,124.7691757,,,,,,,
Dendrelaphis bifrelis,,89.74287945,,,,,,,4
Dendrelaphis calligaster,,215.1890867,,,,7,,,
Dendrelaphis caudolineatus,,521.4,,,,4.5,,,
Dendrelaphis caudolineolatus,,328.1476466,,,,,,,
Dendrelaphis chairecacos,,161.7540019,,,,,,,
Dendrelaphis cyanochloris,,241.8,,,,,,,2
Dendrelaphis flavescens,,210.862815,,,,4.5,,,
Dendrelaphis formosus,,362.5,,,,,,,
Dendrelaphis fuliginosus,,230.5373594,,,,,,,
Dendrelaphis gastrostictus,,156.3147643,,,,,,,5
Dendrelaphis girii,,103.9960083,,,,,,,
Dendrelaphis gorei,,89.72143973,,,,,,,
Dendrelaphis grandoculis,,219.3402468,,,,,,,
Dendrelaphis grismeri,,116.1724307,,,,,,,
Dendrelaphis haasi,,101.5624346,,,,,,,
Dendrelaphis hollinrakei,,186.2043568,,,,,,,
Dendrelaphis humayuni,,73.05695417,,,,,,,
Dendrelaphis inortus,,186.2087137,,,,,,,
Dendrelaphis kopsteini,,290.5511327,,,,,,,
Dendrelaphis levitoni,,230.5373594,,,,,,,
Dendrelaphis lorentzi,,70.8,,,,,,,1
Dendrelaphis luzonensis,,447.7133042,,,,4.5,,,
Dendrelaphis maree,,232.7545629,,,,,,,
Dendrelaphis modestus,,246.6039337,,,,4.5,,,
Dendrelaphis ngansonensis,,328.1476466,,,,,,,
Dendrelaphis nigroserratus,,362.3714992,,,,,,,
Dendrelaphis oliveri,,57.63832317,,,,,,,
Dendrelaphis papuensis,,132.7394458,,,,,,,1
Dendrelaphis philippinensis,,184.1886001,,,,,,,
Dendrelaphis pictus,,290.7,,,,,,,
Dendrelaphis punctulatus,,680.7693587,,3853.3875,1132.275,9.65,Carnivore,Other,6
Dendrelaphis schokari,,53.65158982,,,,,,,
Dendrelaphis striatus,,117.2195366,,,,,,,1
Dendrelaphis subocularis,,159.9558029,,,,,,,2
Dendrelaphis terrificus,,171.0015315,,,,4.5,,,
Dendrelaphis tristis,,444.4156337,,,,,,,
Dendrelaphis underwoodi,,89.72143973,,,,,,,
Dendrelaphis walli,,90.99566363,,,,,,,
Dendroaspis angusticeps,,1664.291154,,7085.85,6044.8875,11.25,Carnivore,Other,
Dendroaspis jamesoni,,2611,,4784.775,4784.775,11,Carnivore,Other,
Dendroaspis polylepis,,8213.6,,9569.55,4017.75,11.5,Carnivore,Other,12
Dendroaspis viridis,,1422.046697,,6830.175,4565.625,,Carnivore,Other,4
Dendrolycus elapoides,,12.18093,,,,,,,
Dendrophidion apharocybe,,131.159995,,,,,,,
Dendrophidion atlantica,,171.6954194,,,,,,,
Dendrophidion bivittatus,,75.04471047,,,,,,,
Dendrophidion boshelli,,186.2043568,,,,,,,
Dendrophidion brunneum,,81.62911857,,,,6,,,2
Dendrophidion clarkii,,356.5755667,,,,,,,
Dendrophidion crybelum,,96.18061392,,,,,,,
Dendrophidion dendrophis,,179.6,,,,9.5,,,
Dendrophidion graciliverpa,,133.9838344,,,,,,,
Dendrophidion nuchale,,345.1218697,,,,,,,
Dendrophidion paucicaritum,,275.4114352,,,,,,,
Dendrophidion percaritum,,176.551891,,,,,,,
Dendrophidion prolixum,,118.0660318,,,,,,,
Dendrophidion rufiterminorum,,363.0890274,,,,,,,
Dendrophidion vinitor,,111.4147267,,,,,,,
Denisonia devisi,,73.79127764,,9496.5,,5.85,Carnivore,Nocturl,4
Denisonia maculata,,47.5667613,,,,6.8,,,1
Dermatemys mawii,,20000,,4127.325,3542.925,11.5,,Nocturl,11
Dermochelys coriacea,,575000,4748.25,20088.75,10957.5,83.9,,Other,3
Diadophis punctatus,,118.5768748,410.805,,,4.1,,,7
Diaphorolepis laevis,,28.33959514,,,,,,,
Diaphorolepis wagneri,,64.40846328,,,,,,,
Dibamus alfredi,,4.91586902,,,,,,Other,
Dibamus bogadeki,,9.57496293,,,,,Carnivore,Nocturl,
Dibamus booliati,,2.615133996,,,,,,Other,
Dibamus bourreti,,9.57496293,,,,,,Other,2
Dibamus celebensis,,10.58408755,,,,,,Other,
Dibamus dalaiensis,,4.312569155,,,,,,Other,
Dibamus deharvengi,,2.020868972,,,,,,Other,
Dibamus dezwaani,,3.995124512,,,,,,,
Dibamus floweri,,,,,,,,,
Dibamus greeri,,1.722911076,,,,,,Other,
Dibamus ingeri,,2.274527303,,,,,,Other,
Dibamus kondaoensis,,3.217968285,,,,,,,
Dibamus leucurus,,5.005936168,,,,,,Other,
Dibamus montanus,,4.509279722,,,,,,Other,
Dibamus nicobaricum,,4.904539381,,,,,,Other,
Dibamus novaeguineae,,7.808139023,,,,1,Carnivore,,4
Dibamus seramensis,,12.59462706,,,,,,,
Dibamus smithi,,2.975604613,,,,,,Other,1
Dibamus somsaki,,2.882088985,,,,,,Other,
Dibamus taylori,,8.280189748,,,,,Carnivore,,
Dibamus tebal,,11.12147267,,,,,,,
Dibamus tiomanensis,,4.91586902,,,,,,Other,
Dibamus vorisi,,1.922680041,,,,,,Other,
Dicrodon guttulatum,,135.8156723,,,,,Herbivore,Other,1
Dicrodon heterolepis,11.6,52.36004366,,,,,Carnivore,,4
Dicrodon holmbergi,,79.0839314,,,,,Herbivore,,
Dierogekko baaba,,,,,,,,Nocturl,
Dierogekko inexpectatus,,1.196994052,,,,,,Nocturl,
Dierogekko insularis,,1.388604734,,,,1.999930935,,Nocturl,
Dierogekko kaalaensis,,1.814050108,,,,,,Nocturl,
Dierogekko koniambo,,1.524408309,,,,,,Nocturl,
Dierogekko nehoueensis,,1.285287053,,,,1.999930935,,Nocturl,
Dierogekko poumensis,,1.093212812,,,,1.999930935,,Nocturl,
Dierogekko thomaswhitei,,1.78301891,,,,,,Nocturl,
Dierogekko validiclavis,,1.789139705,,,,1.999930935,,Nocturl,1
Dieurostus dussumierii,,517.403416,,,,,,,
Dirolacerta montenegri,,6.083681648,,,,,Carnivore,Other,
Dirolacerta mosorensis,6.4475,6.105,1095.84,3287.25,,4.750069894,Carnivore,Other,4
Diplodactylus ameyi,,,,,,,Carnivore,,
Diplodactylus barragae,,2.391159735,,,,,,Nocturl,
Diplodactylus bilybara,,4.483417961,,,,,,Nocturl,
Diplodactylus calcicolus,,3.881834885,,,,,Carnivore,Nocturl,
Diplodactylus capensis,,5.880690823,,,,1.999930935,Carnivore,Nocturl,
Diplodactylus conspicillatus,6.185,4.685,304.4,1168.8,,1.987483669,Carnivore,Nocturl,5
Diplodactylus custos,,3.899709933,,,,,,Nocturl,
Diplodactylus fulleri,,2.603076775,,,,,Carnivore,Nocturl,1
Diplodactylus furcosus,,3.682187873,,,,,Carnivore,Nocturl,3
Diplodactylus galaxias,,1.90053914,,,,,,,
Diplodactylus galeatus,,3.280952931,,3652.5,,1.999930935,Carnivore,Nocturl,1
Diplodactylus grariensis,,7.490847503,,,,1.999930935,Carnivore,Nocturl,3
Diplodactylus hillii,,,,,,,,Nocturl,
Diplodactylus kenneallyi,,2.183852052,,,,,Carnivore,Nocturl,1
Diplodactylus klugei,,3.881834885,,,,2,Carnivore,Nocturl,3
Diplodactylus laevis,,,,,,,,Nocturl,
Diplodactylus lateroides,,2.603076775,,,,1.999930935,,Nocturl,
Diplodactylus mitchelli,,9.191662982,,,,,Carnivore,Nocturl,1
Diplodactylus nebulosus,,3.483684252,,,,,,Nocturl,
Diplodactylus ortus,5.4,3.863669771,,,,1.999930935,Carnivore,Nocturl,2
Diplodactylus platyurus,,,,,,,,Nocturl,
Diplodactylus polyophthalmus,5.3,3.467368505,,,,1.999930935,Carnivore,Nocturl,2
Diplodactylus pulcher,5.6,4.7,,,,1.900203003,Carnivore,Nocturl,3
Diplodactylus savagei,,2.477354458,,,,,Carnivore,Nocturl,3
Diplodactylus tessellatus,5.096,3.863834885,228.3,,,1.999930935,Carnivore,Nocturl,4
Diplodactylus vittatus,,3.356703573,,1095.75,,1.999930935,Carnivore,Nocturl,7
Diplodactylus wiru,,4.189151833,,,,,Carnivore,Nocturl,
Diploderma ngoclinensis,,,,,,,,,
Diploglossus atitlanensis,,29.10358559,,,,12,,Other,
Diploglossus bilobatus,,15.11780624,,,,10.5,Carnivore,Other,2
Diploglossus delasagra,,30.40442513,,,,4,Carnivore,Other,5
Diploglossus fasciatus,,99.30580242,,,,4,,Other,
Diploglossus garridoi,,17.38900414,,,,4.000184255,,,3
Diploglossus lessoe,14.65,83.94599865,,,,4.332759702,Carnivore,Other,1
Diploglossus microcephalus,,1.708954194,,,,,,,
Diploglossus microlepis,,5.497704369,,,,,,,
Diploglossus millepunctatus,,563.7188279,,,,,Carnivore,Other,1
Diploglossus monotropis,,173.0549489,1095.84,4492.575,4492.575,5.500236264,Carnivore,Other,1
Diploglossus montisilvestris,,15.68375535,,,,,,Other,1
Diploglossus montisserrati,,121.1299067,,,,,,Nocturl,1
Diploglossus nigropunctatus,,30.40442513,,,,4.499935169,,,1
Diploglossus owenii,,3.309472288,,,,,,,
Diploglossus pleii,,80.37630611,,,,3,Carnivore,,2
Diplolaemus bibronii,,56.21706626,,,,7,Carnivore,Other,2
Diplolaemus darwinii,,56.21706626,,,,,Carnivore,Other,2
Diplolaemus leopardinus,,14.21164394,,,,,Carnivore,Other,2
Diplolaemus sexcinctus,,56.21706626,,,,,Carnivore,Other,3
Diplometopon zarudnyi,16.535,6.50814197,,7670.25,,,Carnivore,Nocturl,5
Diporiphora adductus,,9.881397428,,,,,,,
